世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
安全世界,2022-03-26 10:46,贞子怀孕计划,KU_IpHeBnA8,蘑菇灯,圣诞灯,winter_ornament_light1,-1
安全世界,2022-03-26 10:46,贞子怀孕计划,KU_IpHeBnA8,蘑菇灯,圣诞灯,winter_ornament_light1,1
安全世界,2022-03-26 11:46,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,1
安全世界,2022-03-26 11:46,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,-1
安全世界,2022-03-26 11:47,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,-1
安全世界,2022-03-26 11:47,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,1
安全世界,2022-03-26 11:48,颂恩,KU_H2AfRqiQ,龙鳞宝箱,石果,rock_avocado_fruit,-40
安全世界,2022-03-26 11:54,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,1
安全世界,2022-03-26 11:54,颂恩,KU_H2AfRqiQ,冰箱,暖石,heatrock,-1
安全世界,2022-03-26 14:39,fuyou,KU_MAFS6Tqm,龙鳞宝箱,莎草纸,papyrus,-2
安全世界,2022-03-26 14:40,fuyou,KU_MAFS6Tqm,龙鳞宝箱,木炭,charcoal,-9
安全世界,2022-03-26 14:40,fuyou,KU_MAFS6Tqm,龙鳞宝箱,木炭,charcoal,9
安全世界,2022-03-26 14:40,fuyou,KU_MAFS6Tqm,龙鳞宝箱,莎草纸,papyrus,2
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,冰魔杖,icestaff,1
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,冰魔杖,icestaff,1
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,帐篷卷,portabletent_item,1
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,冰魔杖,icestaff,1
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,石墙,wall_stone_item,2
安全世界,2022-03-26 16:18,快A神,KU_0PX1vpdH,龙鳞宝箱,冰魔杖,icestaff,-1
