世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
安全世界,2022-04-13 09:23,老五,KU_oGt2RwCi,龙鳞宝箱,采下的草,cutgrass,1
安全世界,2022-04-13 12:20,金帅帅好牛,KU_6BuRQLvW,冰箱,暖石,heatrock,1
安全世界,2022-04-13 12:21,金帅帅好牛,KU_6BuRQLvW,冰箱,暖石,heatrock,-1
安全世界,2022-04-13 12:28,金帅帅好牛,KU_6BuRQLvW,龙鳞宝箱,蓝图,blueprint,1
安全世界,2022-04-13 12:28,金帅帅好牛,KU_6BuRQLvW,龙鳞宝箱,{item}草图,sketch,1
安全世界,2022-04-13 15:28,老五,KU_oGt2RwCi,龙鳞宝箱,黄金鹤嘴锄,goldenpickaxe,1
安全世界,2022-04-13 16:06,老五,KU_oGt2RwCi,龙鳞宝箱,锤子,hammer,1
安全世界,2022-04-13 16:08,老五,KU_oGt2RwCi,龙鳞宝箱,针线包,sewing_kit,1
安全世界,2022-04-13 16:08,老五,KU_oGt2RwCi,龙鳞宝箱,火炬,torch,-1
安全世界,2022-04-13 16:08,老五,KU_oGt2RwCi,龙鳞宝箱,火炬,torch,1
安全世界,2022-04-13 16:09,老五,KU_oGt2RwCi,龙鳞宝箱,石砖,cutstone,-1
安全世界,2022-04-13 16:09,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:09,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:09,老五,KU_oGt2RwCi,龙鳞宝箱,蓝图,blueprint,-1
安全世界,2022-04-13 16:09,老五,KU_oGt2RwCi,龙鳞宝箱,蓝图,blueprint,1
安全世界,2022-04-13 16:10,老五,KU_oGt2RwCi,龙鳞宝箱,矿工帽,minerhat,-1
安全世界,2022-04-13 16:10,老五,KU_oGt2RwCi,龙鳞宝箱,矿工帽,minerhat,1
安全世界,2022-04-13 16:10,老五,KU_oGt2RwCi,龙鳞宝箱,犬牙,houndstooth,-11
安全世界,2022-04-13 16:10,老五,KU_oGt2RwCi,龙鳞宝箱,犬牙,houndstooth,11
安全世界,2022-04-13 16:10,老五,KU_oGt2RwCi,龙鳞宝箱,蜂刺,stinger,-2
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜂刺,stinger,2
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,矿工帽,minerhat,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,矿工帽,minerhat,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,-1
安全世界,2022-04-13 16:11,老五,KU_oGt2RwCi,龙鳞宝箱,蜘蛛帽,spiderhat,1
安全世界,2022-04-13 16:12,老五,KU_oGt2RwCi,龙鳞宝箱,黄金鹤嘴锄,goldenpickaxe,-1
安全世界,2022-04-13 16:12,老五,KU_oGt2RwCi,龙鳞宝箱,石砖,cutstone,-6
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:23,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,-1
安全世界,2022-04-13 16:24,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:24,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:24,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,-1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,不老表,pocketwatch_heal,1
安全世界,2022-04-13 16:26,老五,KU_oGt2RwCi,龙鳞宝箱,玻璃刀,glasscutter,1
安全世界,2022-04-13 16:51,老五,KU_oGt2RwCi,龙鳞宝箱,船套装,boat_item,1
安全世界,2022-04-13 17:56,老五,KU_oGt2RwCi,龙鳞宝箱,铥矿,thulecite,15
安全世界,2022-04-13 17:56,老五,KU_oGt2RwCi,龙鳞宝箱,锤子,hammer,-1
安全世界,2022-04-13 17:56,老五,KU_oGt2RwCi,龙鳞宝箱,锤子,hammer,1
安全世界,2022-04-13 17:56,老五,KU_oGt2RwCi,龙鳞宝箱,火炬,torch,-1
安全世界,2022-04-13 17:56,老五,KU_oGt2RwCi,龙鳞宝箱,火炬,torch,1
宜居世界,2022-04-13 00:01,沫小白,KU_Cps0vpxX,龙鳞宝箱,空浇水壶,wateringcan,-1
宜居世界,2022-04-13 00:06,沫小白,KU_Cps0vpxX,龙鳞宝箱,空浇水壶,wateringcan,1
宜居世界,2022-04-13 01:06,白了头发湿了襟,KU_dNpFm59V,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:06,白了头发湿了襟,KU_dNpFm59V,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:08,白了头发湿了襟,KU_dNpFm59V,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:08,白了头发湿了襟,KU_dNpFm59V,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:15,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:15,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:19,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:19,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:19,桃几,KU_CTuIfxFf,冰箱,暖石,heatrock,-1
宜居世界,2022-04-13 01:20,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:20,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:25,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:25,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 01:37,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 01:37,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:11,沫小白,KU_Cps0vpxX,冰箱,暖石,heatrock,-1
宜居世界,2022-04-13 02:12,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:12,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:12,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:12,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:13,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:13,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:15,沫小白,KU_Cps0vpxX,冰箱,冰,ice,-20
宜居世界,2022-04-13 02:28,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:28,红中,KU_dNpFm8st,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:30,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:30,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:42,红中,KU_dNpFm8st,冰箱,暖石,heatrock,1
宜居世界,2022-04-13 02:43,红中,KU_dNpFm8st,冰箱,暖石,heatrock,-1
宜居世界,2022-04-13 02:43,红中,KU_dNpFm8st,冰箱,暖石,heatrock,1
宜居世界,2022-04-13 02:43,红中,KU_dNpFm8st,冰箱,暖石,heatrock,-1
宜居世界,2022-04-13 02:48,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:48,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:51,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:51,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 02:53,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 02:53,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:03,桃几,KU_CTuIfxFf,龙鳞宝箱,地图卷轴,mapscroll,1
宜居世界,2022-04-13 03:09,桃几,KU_CTuIfxFf,菌伞灯,启迪之冠碎片,alterguardianhatshard,-1
宜居世界,2022-04-13 03:09,桃几,KU_CTuIfxFf,菌伞灯,启迪之冠碎片,alterguardianhatshard,1
宜居世界,2022-04-13 03:09,桃几,KU_CTuIfxFf,菌伞灯,启迪之冠碎片,alterguardianhatshard,-1
宜居世界,2022-04-13 03:09,桃几,KU_CTuIfxFf,菌伞灯,启迪之冠碎片,alterguardianhatshard,1
宜居世界,2022-04-13 04:42,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 04:42,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 04:45,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 04:45,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 04:47,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 04:47,桃几,KU_CTuIfxFf,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:07,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:07,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:09,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:09,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:11,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:11,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:12,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:12,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:14,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:14,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
宜居世界,2022-04-13 06:14,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,1
宜居世界,2022-04-13 06:14,秋叶不爱酒,KU_J9MSPysJ,龙鳞宝箱,溯源表,pocketwatch_recall,-1
